t (s);X (m);Y (m)
0;7;0
0,1;6,999930067;0,031289896
0,2;6,998881099;0,125153331
0,3;6,994336179;0,281534044
0,4;6,982104744;0,500213304
0,5;6,956337248;0,780622885
0,6;6,90956205;1,121584717
0,7;6,83276071;1,5209803
0,8;6,715502101;1,975356052
0,9;6,54615928;2,479475485
1;6,312235615;3,025835677
1,1;6,00082741;3,604174025
1,2;5,599248567;4,201001724
1,3;5,095837612;4,799212334
1,4;4,480957653;5,37782656
1,5;3,748184598;5,911946568
1,6;2,89565726;6,373003141
1,7;1,927534587;6,729384104
1,8;0,855470396;6,947529806
1,9;-0,300023778;6,993567454
2;-1,508498917;6,835527121
2,1;-2,728982064;6,446135036
2,2;-3,91012293;5,806112182
2,3;-4,991324511;4,907818215
2,4;-5,905091302;3,758975487
2,5;-6,580771929;2,386093211
2,6;-6,949767109;0,83710043
2,7;-6,955135118;-0,791261959
2,8;-6,574937759;-2,402122699
2,9;-5,827158125;-3,878688978
3;-4,753602016;-5,138411026
3,1;-3,414288282;-6,110862093
3,2;-1,884093372;-6,741675768
3,3;-0,248565247;-6,995585416
3,4;1,400859311;-6,858395818
3,5;2,971966617;-6,337776773
3,6;4,376921437;-5,462834313
3,7;5,537177555;-4,282483476
3,8;6,38786902;-2,86271364
3,9;6,881436583;-1,282899278
4;6,99028657;0,368637594
4,1;6,70833355;1,999565198
4,2;6,051340553;3,518703954
